Species,CerebellarCortex_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Cerebellum_white_matter_Vol.mm3,FlocculonodularLobe_Vol.mm3,Pontine_and_reticulotegmental_nuclei_Vol.mm3,Total_brain_net_volume_Vol.mm3,Cerebellum_grey_matter_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Facial_motor_nucleus_left_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Hypoglossal_nucleus_left_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_olivaris_inferior_accessorius_Vol.mm3,Nucleus_olivaris_inferior_accessorius_dorsalis_Vol.mm3,Nucleus_olivaris_inferior_accessorius_medialis_Vol.mm3,Nucleus_olivaris_inferior_principalis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Palaeocortex_plus_amygdala_Vol.mm3,PrefrontalCortex_grey_matter_Vol.mm3,PrefrontalCortex_grey_matter_left_Vol.mm3,PrefrontalCortex_grey_matter_right_Vol.mm3,PrefrontalCortex_white_matter_Vol.mm3,PrefrontalCortex_white_matter_left_Vol.mm3,PrefrontalCortex_white_matter_right_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Trigeminal_motor_nucleus_left_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Meninges_hypophysis_nerves_etc_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Diencephalon_excluding_globus_pallidus_Vol.mm3,Striatum_including_globus_pallidus_Vol.mm3,EntorhinalCortex_Vol.mm3,OlfactoryCortices_Vol.mm3,Tectum_Vol.mm3,Tegmentum_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Amygdala_accessory_basal_nucleus_Vol.mm3,Amygdala_basal_nucleus_Vol.mm3,Amygdala_basolateral_division_Vol.mm3,Amygdala_lateral_nucleus_Vol.mm3,Area_10_right_Vol.mm3,Area_13_right_Vol.mm3,Area_striata_grey_matter_left_Vol.mm3,Cerebral_hemispheres_Vol.mm3,Corpus_geniculatum_laterale_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,Pons_Vol.mm3
Gorilla sp.,NA,54525,6416.666666666665,740.4,65087,NA,NA,NA,435211.3333333333,NA,312572,NA,NA,1107,570,105000,500000,1913.25,948.75,710,394.5,4066,2145.5,12062,342.05,NA,NA,NA,NA,2029.3,15185,NA,NA,3123,315.7,0,1405.57,130.65,951.51,236,754.5,1998.1,353,251,136,7.96,1.41,1.3,19370,13.26,415.98,71110,35330,1475.05,210.02,4780.48,3305.43,10.2,112.36,534.6,4871,93.44,7951.455,4352,NA,NA,NA,227.5,23.9,18.3,5.52,12.8,94.3,5.79,NA,49.9,23.6,38.1,19.5,101.5,58.4,61.7,34.7,NA,NA,11640,5870,5770,2610,1290,1320,798.2,56.4,2729,1173,14567,191.7,287.8,369878,129.4,9.49,610.2,5400.6,3608,NA,2471,106,2215,178,2604,2782,10547,671,NA,NA,NA,NA,NA,NA,537,181.3,485,865,200,1942.5,273.2,4550,300000,200,964.5,315.5,1920.5,335.5,232,103.5,NA
Gymnobelideus leadbeateri,315,161,137,8.74,367,43.5,16.7,10.7,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heliophobius argenteocinereus,NA,NA,NA,NA,215,NA,NA,NA,NA,NA,457,NA,NA,NA,NA,180.51,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,90,NA,NA,NA,56,107,28,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemibelideus lemuroides,416,168,221,12.6,511,82.3,26.9,11.7,3952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemicentetes semispinosus,NA,NA,NA,3.23,117,NA,NA,NA,757,NA,73.43,67.57,5.865,NA,NA,110,830,NA,NA,NA,NA,NA,NA,NA,0.37,0.196,0.011,0.087,0.098,22.4,NA,NA,NA,NA,93.6,0.196,12.1,2.81,19.03,3.4,10.4,12.1,17.2,5.27,2.5,0.181,0.00382,0.032,48.5,NA,14.16,NA,NA,10.35,3.32,63.11,52.76,NA,1.52,1.16,148,0.55,108,44.8,NA,22.94,44.63,2.4,0.425,NA,NA,NA,NA,0.338,1.3,1.69,0.709,0.921,0.552,1.97,0.852,0.692,0.384,125,148,NA,NA,NA,NA,NA,NA,74.7,16,17.4,12.8,29.8,1.34,4.8,438,4.5,NA,21.7,NA,15.5,29,2.81,1.16,17.1,0.188,3.12,3.31,19,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemiechinus auritus,NA,NA,NA,NA,198,NA,NA,NA,1710,NA,309.5,278.7,30.8,NA,NA,250,1900,NA,NA,NA,NA,NA,NA,NA,NA,1.346,0.299,0.429,0.618,71.8,NA,NA,NA,NA,175.1,1.35,NA,NA,NA,7.8,29.9,41.9,23.9,8.68,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,279,NA,187,110,NA,75.03,203.7,4.9,NA,NA,NA,NA,NA,NA,2.8,2.3,NA,1.73,NA,3.46,NA,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.8,21.8,68.7,28.4,81.1,NA,6.5,1073,6.9,NA,35.8,NA,82.5,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterocephalus glaber,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,37.74,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,23,NA,NA,NA,14,39,10,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,NA,127110.4166666665,11760.41666666665,1513.78,138155.29166666674,NA,NA,NA,1257139.47008547,NA,991788.3333333334,570033,422149.5,2777.2,1200.6,65000,1330000,5733.2,2960.2,3306.3999999999996,1873.8,12629.2,6479,15463.5,373.6666666666667,NA,NA,NA,NA,4545.8,20226,1704,13083,5439,113.5,0,2793.05,229.52,2357.63,848.6,1306.4,3980.2,400.9,339,177,142,0.0203,0.508,33319,12.95,834.47,204165,191781.25,2853.78,397.17,10287.38,7433.6,14.39,190.48,1166.9,9032,156.4,9660.895,8087,NA,75316,509391,349.9,17,23,8.5,14.5,189,0.524,0,87.8,45.9,42.3,22.4,130.3,72.8,78.4,35.8,6016,9161,46323.75,22203.75,24120,28136.25,13478.75,14657.5,1674.8,109.5,6142,2610,28689,821.76,211.8,1063399,148.3,7.74,692.2,10477.9,18732,NA,7008,133,3555,469,4711,5180,18222,823,NA,NA,NA,NA,NA,NA,1576.6,396.4,881,2424,1146,14217.7,366.2,7630,1151000,180,2773,1432.6,6150.2,812.6,444.6,368,NA
Hylobates lar,NA,9997.5,2135,242.09,12105.25,2930,NA,NA,97892.86666666667,12800,66573.33333333333,45879.66666666667,20060.333333333336,80,40,5700,102000,262,131,234,117,578,289,4487,163.73333333333332,NA,NA,NA,NA,594.1,5750,562,4012,1176,43.9,0,866.51,76.73,547,109.2,156,510.2,103.2,119,59.4,NA,NA,NA,5716,2.06,372.03,13610,5800,444.65,226.25,2672.56,2227.91,2.44,65.6,141.08,1264,35.41,2250.08,1459,NA,6279,40367,84.6,NA,19.5,5.92,13.6,47.5,NA,NA,29.8,14.5,11.5,5.53,49.1,24.5,28.9,14.9,NA,NA,2580,1280,1300,510,240,270,215.4,19,1136,302,4784,139.39,96.5,76001,17.3,1.96,139.9,1167.9,555,NA,693,31.2,629,61.6,715,777,3226,302,NA,NA,NA,NA,NA,NA,NA,52.6,150,303.5,100.5,203.5,51.5,2050,80750,100,NA,NA,NA,NA,NA,NA,NA
Hylobates muelleri,NA,NA,NA,NA,NA,NA,NA,NA,98263,NA,NA,NA,NA,284,142,5710,50950.9,572,286,222,111,1078,539,NA,161.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylomys suillus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypsiprymnodon moschatus,538,237,260,18.2,644,87.9,41.2,18.9,5843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indri indri,NA,NA,NA,141.3,5504,NA,NA,NA,34383,NA,20114,15891,4223,66,33,6250,38300,170,85,100,50,334,167,1648,94.5,2.317,0.308,0.79,1.219,398.5,1961,279,1369,313,167.4,2.32,477.66,35.77,336.04,34.1,120.8,277.7,65.6,92.7,51.3,5.63,0.366,0.553,2911,2.45,165.35,NA,NA,358.58,57.87,1529.38,1170.8,1.84,46.96,56.31,838,38.03,1342.005,978,161.6,2702,13189,26,7.15,11.8,4.56,7.23,8.94,4.96,0.99,23.9,11.8,18.4,9.51,35.1,22.2,15.3,7.8,NA,830,NA,NA,NA,NA,NA,NA,221.2,33,848,205,1855,98.11,49,25551,10.9,1.72,91.5,186.3,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isoodon macrourus,439,183,232,19.6,568,109,24.1,9.84,3955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isoodon obesulus,243,104,121,10.4,299,45.5,17.3,7.97,2205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagorchestes conspicillatus,879,372,449,34.2,1268,354,57.9,47.8,12876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagothrix lagothricha,NA,NA,NA,212.95,11268,NA,NA,NA,95503,NA,65873,49147,16727,NA,NA,5200,101000,NA,NA,NA,NA,NA,NA,4856,164,1.429,0.195,0.543,0.691,753.2,6082,604,4252,1226,73.4,1.43,400.11,49.57,332.56,61.5,188,565.2,107,104,53.1,10.6,0.885,0.583,5721,2.68,192.28,11780,5480,458.9,73.93,1585.69,1126.79,2.13,60.23,108.57,1395,44.15,2109.77,1582,NA,7664,41483,74.6,7.01,9.07,3.65,5.42,21.7,2.6,NA,27.8,14.1,15.8,6.94,43,23,17.6,9.07,NA,1502,1890,970,920,230,90,140,342.9,16.1,680,266,4947,78.34,82.7,74822,23.2,2.56,115.5,725.6,1090,NA,612,31,624,63.8,845,909,2959,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lama glama,18291,9053,8569,1243,23663.379999999997,4867,670,515,232000,NA,99180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1191.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3524.16,NA,NA,NA,NA,NA,NA,8955.36,6617.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2737.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1693.44,310.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7921.92,7429.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lasiorhinus latifrons,3380,1613,1561,94.4,4543,1069,203,152,41129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemur catta,NA,NA,NA,NA,NA,409,NA,NA,21000,2270,11080,8960,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1310,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leontopithecus rosalia,NA,NA,NA,NA,NA,NA,NA,NA,12259,NA,NA,NA,NA,24,12,598,12.7,42,21,8,4,74,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur ruficaudatus,NA,NA,NA,23.07,1165,NA,NA,NA,7175,NA,3282,2805,476.6,NA,NA,915,7600,NA,NA,NA,NA,NA,NA,326,15.6,2.722,0.58,0.833,1.309,133.9,358,52.5,274,31.4,112.7,2.72,128.48,7.28,78.29,6,42.5,91.4,22.2,33,14.9,0.731,0.132,0.121,593,0.91,61.3,NA,NA,72.73,12.62,392.28,319.55,1.15,6.41,9.35,302,7.31,449.14,260,NA,488.6,2317,7.8,1.75,3.09,1.42,1.67,1.71,0.888,0.64,9.91,4.47,5.22,2.38,12.8,5.92,5.03,2.11,170,287,NA,NA,NA,NA,NA,NA,104,14.3,194,56.7,366,31.58,12.4,4708,4.8,0.69,27.1,26.2,76.5,NA,63,4.89,114,2.91,55.2,58.1,337,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Llama glama,NA,NA,NA,NA,NA,NA,NA,NA,281270,NA,163620,104950,58670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lophocebus albigena,NA,7700,4000,232.63,11213,NA,NA,NA,103466.5,NA,68733,NA,NA,190,95,7900,104000,540,270,342,171,1072,536,5420,182,NA,NA,NA,NA,781.3,6831,NA,NA,1411,121.4,0,395.87,38.15,304.2,185.2,265.4,515.9,108.7,170,87,11.9,0.233,0.658,5351,4.31,156.25,13310,6670,426.37,69.9,1464.21,1037.84,3.06,74.6,113.33,1639,44.7,2689.295,1770,362.7,NA,NA,83.5,6,15.1,5.62,9.51,20.2,1.69,NA,49.2,25.2,23,10,65.1,35.6,32.8,16.2,NA,1639,2310,1130,1180,430,190,240,364,22.2,630,294,4146,73.47,67.9,77049,59.7,3.27,158.5,873.3,742,NA,708,27.9,681,52.4,674,726,2933,308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loris tardigradus,NA,NA,NA,17.99,728,NA,NA,NA,6440.5,NA,3524,NA,NA,6,3,322,6600,12,6,6,3,24,12,529,24.6,2.3,0.853,0.652,0.795,104.1,588,NA,NA,59.6,85.8,2.3,57.6,4.87,49.81,7.9,31.6,72.5,15.6,16.1,8.46,0.335,0.103,0.207,538,0.56,33.34,NA,NA,24.56,8,191.14,166.58,0.47,5.58,5.76,256,6.65,260.115,220,32.9,NA,NA,6,1.15,1.92,0.844,1.08,0.921,0.822,0.47,4.32,2.08,2.23,1.22,6.92,3.55,2.59,1.61,NA,256,NA,NA,NA,NA,NA,NA,100,11.1,99.7,41.1,351,12.96,7.9,4551,2.5,0.53,22.5,28.9,51.6,NA,46.3,3.21,80.9,3.79,41.4,45.2,348,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
